ID,band_num,cohort,caught_as,caught,disappeared,fate,outside_area,fledged,independent,mum,Mage,dad_soc,Sage,dad_bio,Bage,sex,LRStot,LRSfledge,LRSinde
A30095-grOO,01A-30095,2012,Nestling,12-Nov-12,18-Mar-13,Dispersedoutside,,1,1,899809-GYG,5,982445-OawA,2,981983-WraN,3,F,0,0,0
A30096-grON,01A-30096,2012,Nestling,12-Nov-12,20-Nov-12,Died,,1,0,982804-awRM,1,899972-rnWR,4,982349-OarN,2,U,0,0,0
A30097-grGB,01A-30097,2012,Nestling,12-Nov-12,20-Nov-12,Died,,1,0,982804-awRM,1,899972-rnWR,4,899972-rnWR,4,F,0,0,0
A30098-grYY,01A-30098,2012,Nestling,12-Nov-12,20-Nov-12,Died,,1,0,982804-awRM,1,899972-rnWR,4,899972-rnWR,4,U,0,0,0
A30099-waMO2,01A-30099,2012,Nestling,12-Nov-12,20-Nov-12,Died,,1,0,982185-YOY,3,899041-NwrA,7,899041-NwrA,7,U,0,0,0
A30100-waBB,01A-30100,2012,Nestling,12-Nov-12,1-Dec-12,Died,,1,0,982185-YOY,3,899041-NwrA,7,899041-NwrA,7,F,0,0,0
A30101-waRY,01A-30101,2012,Nestling,12-Nov-12,20-Nov-12,Died,,1,0,982185-YOY,3,899041-NwrA,7,899041-NwrA,7,M,0,0,0
A30102-ngAO,01A-30102,2012,Nestling,14-Nov-12,22-Nov-12,Died,,1,0,982609-RGY,2,982140-NonY,3,982045-BwgW,3,F,0,0,0
A30103-ngRB,01A-30103,2012,Nestling,14-Nov-12,7-Feb-13,Unknown,,1,1,982609-RGY,2,982140-NonY,3,982045-BwgW,3,U,0,0,0
A30104-ngWW,01A-30104,2012,Nestling,14-Nov-12,28-Nov-15,Died,6,1,1,982609-RGY,2,982140-NonY,3,982140-NonY,3,M,8,6,4
A30106-waRM,01A-30106,2012,Nestling,16-Nov-12,21-Nov-12,Died,,1,0,A30035-MGA,1,981834-ANW,4,899131-GwrG,7,M,0,0,0
A30107-waOW,01A-30107,2012,Nestling,16-Nov-12,21-Nov-12,Died,,1,0,A30035-MGA,1,981834-ANW,4,981834-ANW,4,F,0,0,0
A30108-waYA,01A-30108,2012,Nestling,16-Nov-12,21-Nov-12,Died,,1,0,A30035-MGA,1,981834-ANW,4,981834-ANW,4,U,0,0,0
A30109-ynYO,01A-30109,2012,Nestling,16-Nov-12,22-Nov-12,Died,,1,0,982524-GnoN,2,982584-OryB,2,982584-OryB,2,M,0,0,0
A30110-ynBM,01A-30110,2012,Nestling,16-Nov-12,22-Nov-12,Died,,1,0,982524-GnoN,2,982584-OryB,2,982780-boMR,1,M,0,0,0
A30111-grWB,01A-30111,2012,Nestling,19-Nov-12,4-Jan-13,Unknown,,1,1,A30038-OMN,1,899484-NybR,6,981834-ANW,4,F,0,0,0
A30112-grBB,01A-30112,2012,Nestling,19-Nov-12,24-May-13,Died,,1,1,982361-RnoG,2,899264-MgoY,7,899264-MgoY,7,F,0,0,0
A30113-grGN,01A-30113,2012,Nestling,19-Nov-12,17-Aug-13,Died,,1,1,982361-RnoG,2,899264-MgoY,7,898797-YweY,7,M,0,0,0
A30114-grYR,01A-30114,2012,Nestling,19-Nov-12,4-Jul-16,Died,2,1,1,982361-RnoG,2,899264-MgoY,7,898797-YweY,7,F,8,4,1
A30115-waRG,01A-30115,2012,Nestling,19-Nov-12,23-Nov-12,Died,,0,0,A30105-NRM,1,898377-onWA,8,982098-GwgY,3,F,0,0,0
A30116-waYY,01A-30116,2012,Nestling,19-Nov-12,23-Nov-12,Died,,0,0,A30105-NRM,1,898377-onWA,8,898377-onWA,8,M,0,0,0
A30117-ngBA,01A-30117,2012,Nestling,23-Nov-12,26-Nov-12,Died,,0,0,982191-RRN,3,982086-MraW,3,982808-gnMM,1,U,0,0,0
A30118-ngNO,01A-30118,2012,Nestling,23-Nov-12,26-Nov-12,Died,,0,0,982191-RRN,3,982086-MraW,3,982086-MraW,3,M,0,0,0
A30119-grOA,01A-30119,2012,Nestling,23-Nov-12,28-Nov-12,Died,,0,0,A30013-WBB,1,982501-AnoY,2,982501-AnoY,2,M,0,0,0
A30120-grMN,01A-30120,2012,Nestling,23-Nov-12,28-Nov-12,Died,,0,0,A30013-WBB,1,982501-AnoY,2,899972-rnWR,4,M,0,0,0
A30121-grWO,01A-30121,2012,Nestling,26-Nov-12,7-Nov-14,Died,2,1,1,A30043-NYG,1,982863-nyMO,1,982863-nyMO,1,F,0,0,0
A30122-ynNW,01A-30122,2012,Nestling,26-Nov-12,2-Dec-12,Died,,1,0,982612-RarO,2,A30030-GMN,2+,A30030-GMN,2+,M,0,0,0
A30123-ynOY,01A-30123,2012,Nestling,26-Nov-12,14-Nov-13,Unknown,,1,1,982612-RarO,2,A30030-GMN,2+,M00113-du113,99,F,0,0,0
A30124-ynGR,01A-30124,2012,Nestling,26-Nov-12,15-Mar-14,Died,6,1,1,982612-RarO,2,A30030-GMN,2+,A30030-GMN,2+,M,0,0,0
A30125-ngAM3,01A-30125,2012,Nestling,26-Nov-12,4-Dec-12,Died,,1,0,982678-OWG,2,982002-RwbA,3,982002-RwbA,3,M,0,0,0
A30126-ngNY2,01A-30126,2012,Nestling,26-Nov-12,4-Dec-12,Died,,1,0,982678-OWG,2,982002-RwbA,3,982002-RwbA,3,M,0,0,0
A30127-ngOW,01A-30127,2012,Nestling,26-Nov-12,30-Aug-15,Died,2,1,1,982678-OWG,2,982002-RwbA,3,982002-RwbA,3,F,7,7,6
A30128-ngBB,01A-30128,2012,Nestling,26-Nov-12,28-Nov-12,Died,,0,0,982502-BnoR,2,899871-arMM,4,899871-arMM,4,F,0,0,0
A30129-ngWY,01A-30129,2012,Nestling,26-Nov-12,28-Nov-12,Died,,0,0,982502-BnoR,2,899871-arMM,4,899871-arMM,4,M,0,0,0
A30130-ynWW,01A-30130,2012,Nestling,28-Nov-12,5-Dec-12,Died,,1,0,982771-WYG,2,982879-gnGR,1,982879-gnGR,1,U,0,0,0
A30131-ynRY2,01A-30131,2012,Nestling,28-Nov-12,5-Dec-12,Died,,1,0,982771-WYG,2,982879-gnGR,1,982879-gnGR,1,F,0,0,0
A30132-ynNN,01A-30132,2012,Nestling,28-Nov-12,5-Dec-12,Died,,1,0,982771-WYG,2,982879-gnGR,1,982879-gnGR,1,F,0,0,0
